Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
9,Brent Burns,31,D,SJS,0.8533594899,1.3830308975,2.2363903874,19,40,15.3,21,8,0,6,29,17,1,9.4163805787,9.1,24.87,1.7317073171,0.8414634146,54.02648357,45.610593428,54.2,5.2,39.519372241,32.721922511,54.7,4.5,9.6,91.6,101.2,58.5,41.5,17.920549289,1.530161844,4.5022069642,52.7
16,Victor Hedman,26,D,TBL,0.4958677686,1.7355371901,2.2314049587,3,47,12,12,4,0,5,27,29,0,5.1446280992,9.6,24.51,1.6708860759,1.1772151899,46.518595041,40.537190083,53.4,3.7,34.090909091,31.270661157,52.2,2.7,10.1,90.9,101.1,57.4,42.6,12.303719008,1.208677686,2.2623966942,41.8
17,Erik Karlsson,26,D,OTT,0.4937076476,1.5682478219,2.0619554695,10,28,12.9,13,4,0,5,29,23,2,6.3310745402,7.8,26.83,2.6103896104,0.8701298701,45.914811229,45.682478219,50.1,3,34.211035818,32.875121007,51,4,8.7,92.1,100.8,52.9,47.1,13.475314618,1.7134559535,3.0784123911,47
59,Kevin Shattenkirk,28,D,TOT,0.4890282132,1.6175548589,2.1065830721,-7,47,8.5,5,8,0,2,24,19,0,6.0564263323,8.1,19.94,1.1875,1.1,44.200626959,39.347962382,52.9,2.6,33.517241379,28.626959248,53.9,3.7,8.7,89.5,98.2,59.2,40.8,12.037617555,1.3542319749,1.5047021944,50.6
82,Duncan Keith,33,D,CHI,0.1756954612,1.3762811127,1.5519765739,22,16,9.5,4,2,0,2,34,13,0,5.3587115666,3.3,25.61,1.3375,0.3,44.538799414,43.308931186,50.7,0.3,32.093704246,31.742313324,50.3,0.3,10.1,92.8,102.9,52.8,47.2,10.834553441,0.9370424597,2.1376281113,49.5
88,Dustin Byfuglien,31,D,WPG,0.3551912568,1.0655737705,1.4207650273,10,117,8.5,12,1,0,1,24,13,2,6.5846994536,5.4,27.45,1.55,2.2875,43.551912568,41.147540984,51.4,3.3,33.387978142,31.092896175,51.8,3.6,9.9,90.5,100.4,49.1,50.9,12.349726776,1.7759562842,2.3224043716,53.3
96,Justin Schultz,26,D,PIT,0.4514106583,1.4670846395,1.9184952978,27,34,9.2,9,3,0,1,22,17,0,5.7931034483,7.8,20.45,1.4871794872,0.858974359,50.670846395,48.338557994,51.2,1.9,38.257053292,34.269592476,52.7,2.6,10.8,92.1,102.9,56.7,43.3,11.059561129,0.8275862069,1.3918495298,52.7
97,Torey Krug,25,D,BOS,0.2742857143,1.4742857143,1.7485714286,-10,37,7.9,2,6,0,1,24,19,0,7.1314285714,3.8,21.60,1.012345679,0.7283950617,54.548571429,39.531428571,58,4.9,40.662857143,29.074285714,58.3,4.6,6.7,89.7,96.4,60.1,39.9,14.571428571,0.7542857143,2.0571428571,49.2
102,Dougie Hamilton,23,D,CGY,0.4893350063,1.3927227102,1.8820577164,12,64,9.5,11,2,0,5,24,12,1,8.356336261,5.9,19.68,1.1604938272,0.8395061728,53.149309912,43.437892095,55,6.9,39.335006274,32.371392723,54.9,7.4,8,91.6,99.6,47.7,52.3,15.922208281,0.6398996236,1.9573400251,52.5
107,John Klingberg,24,D,DAL,0.4175588865,1.1563169165,1.573875803,2,34,8.1,9,4,0,3,23,13,0,3.982869379,10.5,23.35,1.4625,0.525,49.817987152,50.813704497,49.5,-0.9,36.038543897,37.226980728,49.2,-2.2,10,91.2,101.2,48.6,51.4,10.053533191,1.2847965739,3.1798715203,39.6
