Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
1,Connor McDavid,20,C,EDM,1.038661281,2.423542989,3.4622042701,27,26,12.8,26,3,1,6,45,24,1,8.6901327178,12,21.13,0.3536585366,0.4146341463,51.206001154,44.039238315,53.8,5.6,38.499711483,31.748413156,54.8,5.6,10.9,91,101.9,56.2,43.8,14.541257934,2.6312752452,1.8695903058,59.8
2,Sidney Crosby,29,C,PIT,1.7706237425,1.8108651911,3.5814889336,17,24,12.3,30,14,0,5,34,11,0,10.261569416,17.3,19.88,0.36,1.0666666667,54.527162978,47.967806841,53.2,5.1,41.006036217,35.774647887,53.4,3.7,10.1,91.6,101.7,61.2,38.8,16.539235412,1.569416499,2.8169014085,62
3,Patrick Kane,28,RW,CHI,1.1630558723,1.8814139111,3.0444697834,11,32,10.8,27,7,0,5,39,16,0,9.9885974914,11.6,21.39,0.1829268293,0.3414634146,50.114025086,45.803876853,52.2,2.8,36.157354618,34.994298746,50.8,1.1,11.3,91.4,102.7,64.4,35.6,16.795895097,1.6761687571,1.4367160775,59.5
4,Nicklas Backstrom,29,C,WSH,0.9218436874,2.5250501002,3.4468937876,17,38,9.9,15,8,0,5,36,27,0,6.4929859719,14.2,18.26,0.4024390244,0.5487804878,45.851703407,44.809619238,50.6,-1.1,34.98997996,33.70741483,50.9,0,10.2,92.4,102.6,53,47,10.741482966,2.4448897796,2.1643286573,60.1
5,Nikita Kucherov,23,RW,TBL,1.668984701,1.8776077886,3.5465924896,13,38,12,23,17,0,7,30,15,0,10.264255911,16.3,19.43,0.2702702703,0.4054054054,51.23783032,40.681502086,55.7,6.7,38.052851182,31.961057024,54.4,5.9,10.8,91.2,101.9,59.7,40.3,19.360222531,2.2531293463,2.6703755216,53
6,Brad Marchand,28,LW,BOS,1.5048231511,1.7749196141,3.2797427653,18,81,12.6,27,9,3,8,29,15,2,8.7202572347,17.3,19.44,0.4375,0.6375,54.096463023,34.958199357,60.7,8.5,40.553054662,26.199356913,60.8,7.8,9.3,88.9,98.2,54.8,45.2,15.704180064,2.6623794212,3.2411575563,55.3
7,Mark Scheifele,23,C,WPG,1.1822660099,1.8472906404,3.0295566502,18,38,10.3,25,7,0,5,40,8,2,5.9113300493,20,20.56,0.4303797468,0.6202531646,47.068965517,43.965517241,51.7,3.7,35.911330049,33.02955665,52.1,4,13,89.7,102.6,53,47,10.270935961,2.4753694581,1.5517241379,57.6
8,Leon Draisaitl,21,C,EDM,1.1240310078,1.8604651163,2.984496124,7,20,9.6,19,10,0,5,31,17,0,6.6666666667,16.9,18.88,0.4390243902,0.5,49.186046512,45.15503876,52.1,2.9,36.782945736,32.984496124,52.7,2.3,10.3,90.4,100.7,54,46,11.550387597,2.9069767442,2.9069767442,58.1
10,Vladimir Tarasenko,25,RW,STL,1.5445544554,1.4257425743,2.9702970297,-1,12,10.2,30,9,0,8,23,13,0,11.326732673,13.6,18.48,0.3780487805,0.6097560976,48.831683168,45.02970297,52,3.2,36.237623762,32.594059406,52.6,3.6,9.5,90,99.5,66.9,33.1,20.792079208,1.1485148515,1.2277227723,54.5
11,Artemi Panarin,25,LW,CHI,1.1646837821,1.6155291171,2.7802128992,18,21,9.4,22,9,0,5,35,8,0,7.9273638071,14.7,19.48,0.1707317073,0.2804878049,51.734502192,42.154038823,55.1,6.8,36.931747026,32.122730119,53.5,5,11.4,91.7,103.1,81.3,18.7,14.877896055,2.1415153413,2.0663744521,53.3
12,Blake Wheeler,30,RW,WPG,0.9443099274,1.7433414044,2.6876513317,6,47,8.2,19,5,2,4,31,16,1,9.406779661,10,20.15,0.6219512195,1.2195121951,48.268765133,39.552058111,55,8.4,36.464891041,29.455205811,55.3,8.6,9.6,88.9,98.5,52.6,47.4,15.217917676,1.416464891,1.598062954,61.8
13,Ryan Getzlaf,31,C,ANA,0.5772931366,2.2322001283,2.8094932649,7,49,7.6,7,6,2,3,43,14,1,5.311096857,10.9,21.07,1.1891891892,1.3378378378,42.411802437,42.604233483,49.9,1,31.327774214,31.173829378,50.1,0.8,10.6,91,101.6,47.8,52.2,11.084028223,2.3476587556,2.6170622194,47.9
14,Evgeni Malkin,30,C,PIT,1.7157712305,2.027729636,3.7435008666,18,77,9.9,22,11,0,6,27,12,0,9.9306759099,17.3,18.61,0.4032258065,0.6451612903,48.821490468,45.233968804,51.9,1.6,36.91507799,33.535528596,52.4,0.6,11.4,91.9,103.3,70.6,29.4,16.325823224,2.7036395147,2.8076256499,61.1
15,Tyler Seguin,25,C,DAL,1.0303830911,1.822985469,2.8533685601,-15,22,7.5,15,11,0,4,28,18,0,11.928665786,8.6,18.46,0.3170731707,0.7317073171,50.805812417,47.595772787,51.6,2,36.856010568,34.795244386,51.4,1.1,9.2,88.7,97.9,51,49,20.132100396,1.4663143989,1.5455746367,59.4
18,David Pastrnak,20,RW,BOS,1.5122312824,1.6011860638,3.1134173462,11,34,10.3,24,10,0,6,22,14,0,11.653076353,13,17.99,0.4266666667,0.96,58.754633062,42.920681987,57.8,4.5,43.988139362,31.534469978,58.2,4.5,9.1,89.9,99,57.7,42.3,20.681986657,2.223869533,2.8910303929,56.3
19,Phil Kessel,29,RW,PIT,0.9381373215,1.9170632223,2.8552005438,3,20,7.3,15,8,0,4,25,22,0,9.3405846363,10,17.94,0.1829268293,0.1463414634,44.459551326,49.394969409,47.4,-3.5,33.161114888,36.301835486,47.7,-4.5,9,92.6,101.6,63.8,36.2,16.560163154,0.611828688,2.0802175391,56.2
20,Auston Matthews,19,C,TOR,1.6597510373,1.2033195021,2.8630705394,2,14,9.7,32,8,0,8,16,13,0,11.576763485,14.3,17.63,0.743902439,0.256097561,54.68879668,50.165975104,52.2,2.3,41.12033195,38.423236515,51.7,2.6,8,91.9,99.9,63,37,19.751037344,3.153526971,1.8257261411,58.6
21,Alex Ovechkin,31,LW,WSH,1.3147410359,1.4342629482,2.7490039841,6,50,8.7,16,17,0,7,27,9,0,12.470119522,10.5,18.37,0.3536585366,2.6341463415,49.521912351,47.290836653,51.2,-0.3,37.450199203,35.697211155,51.2,0.4,9.6,91.2,100.7,58.8,41.2,23.187250996,1.1553784861,1.8326693227,53.8
22,Jamie Benn,27,LW,DAL,1.0455764075,1.7292225201,2.7747989276,-9,66,7.5,13,12,1,4,29,14,0,8.0831099196,12.9,19.38,0.6103896104,1.1558441558,45.321715818,45.321715818,50,-0.4,33.418230563,33.136729223,50.2,-0.5,8.7,90.2,98.9,48.9,51.1,14.436997319,2.2117962466,2.2117962466,56
23,Mikael Granlund,24,C,MIN,1.0229508197,1.6918032787,2.7147540984,23,12,8.5,16,7,3,4,29,13,1,6.9639344262,14.7,18.83,0.6172839506,0.6172839506,43.436065574,44.655737705,49.3,0,33.009836066,33.049180328,50,0.2,11.5,92.2,103.7,38.7,61.3,12.472131148,1.6918032787,1.2983606557,55.8
24,Joe Pavelski,32,C,SJS,1.1233053583,1.5106520336,2.6339573919,11,34,8.7,21,7,1,7,24,15,0,9.0251775339,12.4,19.12,0.9012345679,1.6049382716,50.161394448,45.861846352,52.2,1.4,36.449322143,32.033570045,53.2,1.6,10,91.4,101.5,53.3,46.7,16.152356359,1.2782440284,3.2537120723,55.6
25,Henrik Zetterberg,36,LW,DET,0.6307977737,1.892393321,2.5231910946,15,22,7.6,15,2,0,0,40,11,0,7.2356215213,8.7,19.72,0.3658536585,0.7073170732,45.899814471,42.003710575,52.2,5.4,35.250463822,31.985157699,52.4,5.7,10.2,91.5,101.7,51.4,48.6,12.430426716,1.4100185529,1.3729128015,58.2
26,Max Pacioretty,28,LW,MTL,1.3522215068,1.2363168062,2.5885383129,15,38,9.3,26,8,1,7,26,5,1,10.354153252,13.1,19.17,0.4320987654,0.7777777778,53.97295557,43.386992917,55.4,4.4,39.484867997,32.530585963,54.8,3.7,8.9,92.2,101.1,58.1,41.9,19.317450097,1.6999356085,1.8158403091,53.6
27,Jeff Carter,32,C,LAK,1.2981744422,1.3793103448,2.677484787,2,41,9,21,10,1,9,22,12,0,10.14198783,12.8,18.04,0.4512195122,1.0487804878,48.965517241,40.973630832,54.4,-0.4,36.186612576,30.669371197,54.1,-0.5,8.8,89.7,98.4,56.9,43.1,18.985801217,0.9736308316,1.8661257606,53.4
28,John Tavares,26,C,NYI,1.0687022901,1.4503816794,2.5190839695,4,38,7.8,20,7,1,3,26,11,1,9.9236641221,10.8,20.42,0.2597402597,0.5454545455,50.839694656,45.305343511,52.9,7.7,36.832061069,33.473282443,52.4,6.6,10,90.1,100.1,63.3,36.7,17.938931298,2.4045801527,3.0916030534,55.1
29,Eric Staal,32,C,MIN,1.1009174312,1.4547837484,2.5557011796,17,34,8,23,4,1,8,24,12,1,8.2961992136,13.3,18.61,0.4756097561,0.512195122,48.322411533,44.429882045,52.1,3.8,36.25163827,33.184796855,52.2,3.2,9.7,91.4,101.2,50,50,14.154652687,2.005242464,0.9436435125,58.3
30,Patrik Laine,18,RW,WPG,1.6513761468,1.2844036697,2.9357798165,7,26,8.9,27,9,0,5,23,5,0,9.3577981651,17.6,17.92,0.4520547945,1.095890411,44.633027523,47.064220183,48.7,-0.7,34.311926606,35.412844037,49.2,-0.4,13.8,89.6,103.5,55.2,44.8,16.513761468,1.9724770642,2.5229357798,56.7
31,Nikolaj Ehlers,20,LW,WPG,1.0460251046,1.6317991632,2.6778242678,1,38,7.2,20,5,0,4,32,7,0,8.5355648536,12.3,17.49,0.3414634146,0.5243902439,49.49790795,46.610878661,51.5,3.1,37.531380753,35.523012552,51.4,2.6,11,89.6,100.5,55.1,44.9,15.774058577,1.5062761506,2.1338912134,53.8
32,Jeff Skinner,24,LW,CAR,1.5845824411,1.113490364,2.6980728051,-3,28,8.8,30,7,0,4,18,8,0,12.034261242,13.2,17.73,0.3544303797,0.417721519,53.447537473,50.578158458,51.4,0.3,38.886509636,38.501070664,50.2,-0.2,10,89.6,99.6,63.2,36.8,20.942184154,2.7837259101,2.7837259101,57.3
33,Cam Atkinson,27,RW,CBJ,1.4160485502,1.0923803102,2.5084288604,13,22,8.9,22,10,3,9,16,11,0,9.7100472016,14.6,18.09,0.4146341463,0.4024390244,46.648685098,48.954821308,48.8,-2,33.499662846,36.372218476,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,16.142953473,1.4565070802,0.8496291301,60.2
34,James van Riemsdyk,27,LW,TOR,1.3353798926,1.5195702226,2.8549501151,-2,37,7.7,23,6,0,5,20,13,0,10.959324635,12.2,15.89,0.3536585366,0.756097561,54.059861857,49.270913277,52.3,2.4,40.107444359,39.600920952,50.3,0.6,9.3,90.6,99.9,57.1,42.9,18.004604758,1.7037605526,1.0590943975,60.9
35,Nazem Kadri,26,C,TOR,1.4117647059,1.2794117647,2.6911764706,-7,95,7.6,20,12,0,6,24,5,0,10.411764706,13.6,16.59,0.3780487805,1.512195122,54.220588235,51,51.5,1.4,40.102941176,38.647058824,50.9,1.4,9.4,90.3,99.7,37.4,62.6,19.014705882,2.5588235294,2.6029411765,55
36,Viktor Arvidsson,23,LW,NSH,1.3556851312,1.3119533528,2.667638484,16,28,8.7,22,4,5,6,23,5,2,10.758017493,12.6,17.15,0.5625,0.2875,55.758017493,45.56851312,55,5.5,42.638483965,35.685131195,54.4,5.2,9.6,91,100.6,55.8,44.2,17.973760933,1.6180758017,1.1370262391,59.6
